,text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
1,RT @DavidPapp: Narcan Is Now Sold at Walgreens. What's That? https://t.co/IRMf23NTJe,FALSE,0,NA,10/28/2017 18:12,FALSE,NA,9.24338E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Patrici33901682,7,TRUE,FALSE,NA,NA
2,RT @DavidPapp: Narcan Is Now Sold at Walgreens. What's That? https://t.co/IRMf23NTJe,FALSE,0,NA,10/28/2017 18:12,FALSE,NA,9.24338E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",jsurp67,7,TRUE,FALSE,NA,NA
3,RT @DavidPapp: Narcan Is Now Sold at Walgreens. What's That? https://t.co/IRMf23NTJe,FALSE,0,NA,10/28/2017 18:11,FALSE,NA,9.24338E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Paquiz__Allen,7,TRUE,FALSE,NA,NA
4,"The City Breaking up of Flak administered Narcan 316 present in Hawthorn unparalleled, or more 10 present a daylight, aforementioned...",FALSE,0,NA,10/28/2017 18:09,FALSE,NA,9.24337E+17,NA,"<a href=""http://treatmentmedicine.48m.info/"" rel=""nofollow"">Heather Jones222</a>",omebikokuhochi,0,FALSE,FALSE,NA,NA
5,Opioid Crisis Official; Insys Therapeutics Billionaire Founder Charged; Walgreens Stocks Narcan - https://t.co/aoGGRjZ3DQ #news,FALSE,0,NA,10/28/2017 18:05,FALSE,NA,9.24336E+17,NA,"<a href=""http://soylentnews.org/"" rel=""nofollow"">SoylentIRCBot</a>",SoylentNews,0,FALSE,FALSE,NA,NA
6,@NCADDNational THIS IS WHY #Washington allows Narcan purchase without Rx for anyone now. #addictions #OpioidCrisis… https://t.co/ArKsagZZV5,FALSE,0,NCADDNational,10/28/2017 18:05,TRUE,NA,9.24336E+17,422822329,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",popohman,0,FALSE,FALSE,NA,NA
7,RT @DavidPapp: Narcan Is Now Sold at Walgreens. What's That? https://t.co/IRMf23NTJe,FALSE,0,NA,10/28/2017 18:04,FALSE,NA,9.24336E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Noheml87,7,TRUE,FALSE,NA,NA
8,Opioid Crisis: First responders call for help @SWVFD #Narcan #CTNARCAN   https://t.co/re2VqRPeJj via @FOX61News,FALSE,0,NA,10/28/2017 18:02,FALSE,NA,9.24336E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BroochOpioidEMS,0,FALSE,FALSE,NA,NA
9,RT @DavidPapp: Narcan Is Now Sold at Walgreens. What's That? https://t.co/IRMf23NTJe,FALSE,0,NA,10/28/2017 18:01,FALSE,NA,9.24335E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",purplevampire34,7,TRUE,FALSE,NA,NA
10,".@Walgreens is set to begin selling #opiod overdose reversal, #Narcan. https://t.co/N7DhKmomPN",FALSE,0,NA,10/28/2017 18:00,FALSE,NA,9.24335E+17,NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>",1059SUNNYFM,0,FALSE,FALSE,NA,NA
11,".@Walgreens is set to begin selling #opiod overdose reversal, #Narcan. https://t.co/BmIxiwXBfw",FALSE,0,NA,10/28/2017 18:00,FALSE,NA,9.24335E+17,NA,"<a href=""http://www.socialnewsdesk.com"" rel=""nofollow"">SocialNewsDesk</a>",MIX1051,0,FALSE,FALSE,NA,NA
12,1) Give all cops Narcan. 2) More methadone clinics. 3) Retrain doctors &amp; dentists on dangers of overprescribing. https://t.co/RJZuVEDoRJ,FALSE,1,NA,10/28/2017 17:59,FALSE,NA,9.24335E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",KerryWMartin,0,FALSE,FALSE,NA,NA
13,@StratfordEMS1 Stratford Police Add Narcan To Tools To Help Fight Opioid Overdoses #CTNARCAN https://t.co/cTa9jhxWde,FALSE,0,StratfordEMS1,10/28/2017 17:58,FALSE,9.24276E+17,9.24335E+17,1606198123,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BroochOpioidEMS,0,FALSE,FALSE,NA,NA
14,RT @StratfordEMS1: Stratford Police carrying Narcan in response to opioid crisis https://t.co/Ze4Uy9cc71,FALSE,0,NA,10/28/2017 17:56,FALSE,NA,9.24334E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BroochOpioidEMS,1,TRUE,FALSE,NA,NA
15,@StratfordPDCT Stratford police deployed with opioid-OD antidote  #Narcan #CTNARCAN https://t.co/l3vorTRhBF-,FALSE,0,StratfordPDCT,10/28/2017 17:56,FALSE,9.23927E+17,9.24334E+17,7.90989E+17,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BroochOpioidEMS,0,FALSE,FALSE,NA,NA
16,@desusnice Big news https://t.co/EXUKuorBqO,FALSE,0,desusnice,10/28/2017 17:55,FALSE,NA,9.24334E+17,14594844,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",wrokandwrol,0,FALSE,FALSE,NA,NA
17,@Llydis Too bad they don't make narcan for bullshit.,FALSE,0,Llydis,10/28/2017 17:55,FALSE,9.24334E+17,9.24334E+17,16620586,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",pashawasha,0,FALSE,FALSE,NA,NA
18,RT @StratfordPDCT: SPD has deployed Narcan as a result of the national opioid problem. https://t.co/ufiT5YY0gv,FALSE,0,NA,10/28/2017 17:53,FALSE,NA,9.24333E+17,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",BroochOpioidEMS,6,TRUE,FALSE,NA,NA
19,RT @DavidPapp: Narcan Is Now Sold at Walgreens. What's That? https://t.co/IRMf23NTJe,FALSE,0,NA,10/28/2017 17:52,FALSE,NA,9.24333E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",sexifledpuss,7,TRUE,FALSE,NA,NA
20,RT @DavidPapp: Narcan Is Now Sold at Walgreens. What's That? https://t.co/IRMf23NTJe,FALSE,0,NA,10/28/2017 17:45,FALSE,NA,9.24331E+17,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",INDGeneraiStore,7,TRUE,FALSE,NA,NA
